"Title","Year","Make","Model","Price","Sold","VIN","LicensePlate","Color","InventoryDate"
"2025 Daewoo Nubira","2,025","Daewoo","Nubira","15,183","1","WAUSFBFLXAA491108","C1L 4T8","Black","11/13/2018"
"2004 Mercedes-Benz M-Class","2,004","Mercedes-Benz","M-Class","10,282","1","3D4PG9FG8BT868095","M7C 6J0","Gray","10/21/2019"
"2015 Porsche 928","2,015","Porsche","928","10,262","0","1VWAH7A35EC839580","C9F 1L5","White","7/25/2018"
"2020 Ford Econoline E250","2,020","Ford","Econoline E250","24,846","1","1GD01ZCG7DF735194","F0T 1C8","White","7/27/2019"
"2002 Cadillac DeVille","2,002","Cadillac","DeVille","12,121","1","WP0AB2A90FS858976","A3B 2T1","Blue","3/22/2019"
"2020 Honda Civic","2,020","Honda","Civic","14,044","0","WAUCKAFR3AA146565","X5E 1L5","Blue","12/9/2020"
"2003 Toyota Echo","2,003","Toyota","Echo","23,841","0","1GD01XEG0FZ985234","W9B 1Z7","Silver","9/19/2020"
"2021 Audi A8","2,021","Audi","A8","22,504","0","5TDDW5G19FS269079","N9U 3F8","White","12/17/2019"
"2005 Chevrolet Equinox","2,005","Chevrolet","Equinox","22,057","1","WBAEV53492K898671","D0L 2S5","Blue","5/16/2020"
"2025 Volkswagen GTI","2,025","Volkswagen","GTI","13,133","0","WAUSF98E88A266641","Q6G 5I6","Silver","9/30/2020"
"2003 Honda Civic","2,003","Honda","Civic","14,694","1","JN1CV6EK7BM060058","B1R 9E5","Red","4/26/2019"
"2010 Ford F-Series","2,010","Ford","F-Series","13,605","0","WAUDV74F67N526623","M6S 9X4","Blue","6/11/2019"
"2025 Chevrolet Metro","2,025","Chevrolet","Metro","21,231","1","JA32U1FU7CU388269","H3F 9W3","Yellow","4/10/2020"
"2009 Subaru Leone","2,009","Subaru","Leone","22,942","1","1GYUCDEF1AR027292","Y9P 7E0","Gray","2/7/2020"
"2013 Buick Skylark","2,013","Buick","Skylark","16,918","0","WA1WMBFE7BD084899","M0O 7C9","Black","11/26/2020"
"2002 GMC Canyon","2,002","GMC","Canyon","16,594","1","JN8AZ1MU6CW289713","R0W 0P9","White","11/6/2018"
"2024 Dodge Ram 2500","2,024","Dodge","Ram 2500","17,776","0","5N1AZ2MH8FN362106","J3O 5X6","Silver","2/24/2018"
"2024 Daewoo Leganza","2,024","Daewoo","Leganza","12,822","1","WVWAN7AN9EE062113","K6C 1D7","White","11/4/2019"
"2020 Hyundai Sonata","2,020","Hyundai","Sonata","21,345","1","1FTEW1C82FK285239","G8Y 2L8","White","10/2/2019"
"2005 Mercedes-Benz SL-Class","2,005","Mercedes-Benz","SL-Class","11,822","0","JTHBC1KS8A5759969","I0J 8N1","Gray","3/7/2019"
"2016 Mercedes-Benz W201","2,016","Mercedes-Benz","W201","20,359","0","5UXZV4C52BL785855","K6D 6C0","Gray","9/10/2018"
"2008 Hummer H3","2,008","Hummer","H3","24,618","0","5UXZV4C52D0311702","C0Y 4U2","Gray","7/5/2018"
"2023 Cadillac Escalade","2,023","Cadillac","Escalade","19,187","1","WVWAP7AN6EE149705","Z0C 3M4","Gray","3/13/2019"
"2019 Jeep Wrangler","2,019","Jeep","Wrangler","21,310","0","5GADX23L55D190118","K5I 4X2","Black","8/20/2020"
"2004 Chevrolet Suburban 2500","2,004","Chevrolet","Suburban 2500","17,213","0","1N6AA0CJ3DN562924","Z4N 7K0","Red","6/12/2019"
"2010 Honda Ridgeline","2,010","Honda","Ridgeline","20,612","1","WDDLJ6HB7FA802573","C3Q 3U2","Gray","8/20/2020"
"2015 Ford Mustang","2,015","Ford","Mustang","13,621","1","5J6TF2H55EL395025","J7P 9M2","Black","8/16/2018"
"2010 Scion tC","2,010","Scion","tC","16,174","0","JM3ER2W3XA0350351","D9I 4H6","Black","8/30/2018"
"2000 Audi A8","2,000","Audi","A8","15,429","0","JN8AF5MR3FT902176","R8I 0Y0","Silver","3/21/2019"
"2009 Merkur XR4Ti","2,009","Merkur","XR4Ti","20,888","1","2G61V5S85F9464358","V9P 1I0","Black","1/18/2020"
"2003 Mercedes-Benz SLR McLaren","2,003","Mercedes-Benz","SLR McLaren","24,699","1","1YVHZ8BA5A5942587","G8Z 1M7","White","7/26/2019"
"2006 Kia Sorento","2,006","Kia","Sorento","16,952","1","JM3KE2BE6F0242144","S9B 3S7","Gray","2/13/2018"
"2000 Porsche Boxster","2,000","Porsche","Boxster","10,112","1","JN1CV6AP0AM181644","H1V 6N6","White","9/12/2020"
"2002 Ford Freestar","2,002","Ford","Freestar","11,245","0","TRURD28N361348133","G1P 4Y2","Gray","11/2/2019"
"2009 Lexus RX Hybrid","2,009","Lexus","RX Hybrid","21,508","0","5N1AZ2MH0FN984392","X9G 7Y7","Black","9/1/2020"
"2014 Audi Coupe Quattro","2,014","Audi","Coupe Quattro","17,555","0","5UXKS4C54E0922052","Q8V 9A4","Gray","5/22/2018"
"2017 Ford Club Wagon","2,017","Ford","Club Wagon","21,707","1","1LNHL9DK5EG844832","W9Z 8A3","Black","2/22/2020"
"2006 Land Rover Freelander","2,006","Land Rover","Freelander","23,341","1","WAUSH78E06A427849","K3R 6S9","Black","2/21/2019"
"2000 Chevrolet Prizm","2,000","Chevrolet","Prizm","17,923","0","WBAUN93589V709738","T6J 9E2","Red","4/26/2020"
"2017 Mercedes-Benz 500SL","2,017","Mercedes-Benz","500SL","22,512","1","JTEBU4BF6BK210658","P9N 9R7","White","5/21/2020"
"2011 Mercury Cougar","2,011","Mercury","Cougar","16,192","0","1G6AE5S37E0010836","D4Y 6B0","White","3/26/2019"
"2023 Dodge Caravan","2,023","Dodge","Caravan","19,542","1","WAUVC58EX4A995894","R0H 5O1","Black","10/23/2020"
"2016 Lexus SC","2,016","Lexus","SC","18,378","0","1FTWW3A56AE203528","X3F 1R4","White","10/27/2019"
"2023 GMC Yukon","2,023","GMC","Yukon","10,169","0","3C6JD7DP1CG758610","V5S 1P8","Gray","9/4/2020"
"2006 Honda Element","2,006","Honda","Element","22,136","0","WAUSF98E36A801503","Q4U 5K2","Black","1/13/2019"
"2011 Chevrolet Corvette","2,011","Chevrolet","Corvette","13,206","1","JN1BY0AP6AM023535","Y6T 2F3","Black","9/11/2018"
"2007 Toyota 4Runner","2,007","Toyota","4Runner","13,347","1","SCBCR73W19C860712","G1G 6U7","Blue","5/4/2018"
"2006 Pontiac Grand Prix","2,006","Pontiac","Grand Prix","23,191","1","3N1AB7AP3FL697147","J8M 5I2","Red","4/30/2019"
"2019 GMC Yukon","2,019","GMC","Yukon","18,713","1","1N4CL2AP8BC712369","E6P 9Q6","White","11/12/2018"
"2001 Suzuki XL-7","2,001","Suzuki","XL-7","12,973","1","5FPYK1F22AB423491","D2P 2H6","White","1/15/2018"
"2012 Mercury Cougar","2,012","Mercury","Cougar","20,119","0","WAUHF78P67A753190","E0M 6C3","Gray","10/23/2020"
"2010 Chevrolet Corvair","2,010","Chevrolet","Corvair","24,685","1","WAUSF98K39N769123","I0J 7J4","Silver","7/14/2018"
"2009 Toyota Avalon","2,009","Toyota","Avalon","10,977","0","2HNYD18983H481996","O1O 4Z0","Green","1/23/2018"
"2003 Kia Amanti","2,003","Kia","Amanti","15,255","0","JTDBT4K39B4090825","N2C 0K9","White","1/9/2020"
"2009 Ford Laser","2,009","Ford","Laser","19,599","0","WBAWL73519P965226","J4N 1D7","Gray","6/26/2020"
"2019 GMC 1500","2,019","GMC","1500","17,047","0","SCBDP3ZA9BC659354","H5W 1N6","White","11/14/2019"
"2017 Geo Prizm","2,017","Geo","Prizm","24,065","1","5TFBW5F15AX030365","X0N 8W4","Orange","5/1/2018"
"2016 Mazda RX-7","2,016","Mazda","RX-7","13,454","1","W04GX5GV6B1869931","T5U 0D8","Black","10/23/2019"
"2006 Toyota Avalon","2,006","Toyota","Avalon","14,530","1","1GYS4FEJ9BR320749","Q1W 2J6","Gray","3/18/2018"
"2009 BMW Z4","2,009","BMW","Z4","23,516","1","5N1AR2MM0EC832569","R2X 3Y7","Silver","12/21/2018"
"2009 Lexus HS","2,009","Lexus","HS","13,456","0","WAUHGAFC3EN121148","Z6X 3A7","Black","8/4/2018"
"2004 Ferrari F430 Spider","2,004","Ferrari","F430 Spider","20,120","0","JTDZN3EU5FJ872456","D3M 3V2","Silver","3/20/2019"
"2008 Volvo S60","2,008","Volvo","S60","18,753","1","1N6AA0CJ2EN280646","J6C 3A3","Red","6/12/2020"
"2002 Acura TL","2,002","Acura","TL","24,374","1","JN1AY1AP4DM515115","U9M 3O4","Black","11/4/2020"
"2021 Volkswagen Cabriolet","2,021","Volkswagen","Cabriolet","11,783","0","4T1BK1EB5EU395534","T6F 6O8","Red","5/14/2018"
"2015 Lincoln Continental Mark VII","2,015","Lincoln","Continental Mark VII","18,490","0","WBAUP9C54DV106675","T2D 1Z8","Black","4/29/2020"
"2005 Mazda Mazdaspeed6","2,005","Mazda","Mazdaspeed6","20,365","1","NM0KS9BN2AT068765","U3U 5S0","Black","11/11/2018"
"2007 Bentley Azure","2,007","Bentley","Azure","22,763","1","WBAEW53413P503691","K7O 4T1","Gray","9/10/2020"
"2005 Chevrolet Suburban 1500","2,005","Chevrolet","Suburban 1500","17,477","0","JM3TB2BA8F0208975","M5Z 2O5","White","11/8/2019"
"2003 Dodge Ram 3500","2,003","Dodge","Ram 3500","14,531","1","WBAKF9C52DE606876","M8V 1N0","White","3/7/2018"
"2005 Ford Mustang","2,005","Ford","Mustang","22,781","0","2G4GS5EV9D9899099","F4N 1Z5","Black","11/7/2020"
"2002 Chevrolet Express 3500","2,002","Chevrolet","Express 3500","11,863","0","4USBT33434L077671","B1T 4I9","Yellow","11/28/2018"
"2020 Chrysler Sebring","2,020","Chrysler","Sebring","19,046","1","WAUPFBFM6BA153012","X8Z 8K0","Black","6/10/2018"
"2017 Ford Club Wagon","2,017","Ford","Club Wagon","12,115","1","WAUEH78E26A470036","C3G 8Q9","White","8/28/2018"
"2008 BMW X6","2,008","BMW","X6","14,752","1","1D7RB1CP6AS385740","T6W 1Z5","Silver","7/5/2018"
"2010 Buick Electra","2,010","Buick","Electra","11,678","0","1G6YV36A375563033","E7F 6O2","Blue","4/21/2019"
"2015 Mazda Navajo","2,015","Mazda","Navajo","16,029","1","1FMCU9E79AK718088","A1M 6I1","Black","3/23/2020"
"2001 Subaru Outback","2,001","Subaru","Outback","17,285","1","1G6DM57N130381000","M9I 3B6","Gray","7/21/2018"
"2004 Toyota Camry","2,004","Toyota","Camry","11,684","0","JN1AJ0HP5CM060827","I1R 4J7","Silver","6/7/2018"
"2024 Volkswagen Golf","2,024","Volkswagen","Golf","14,652","0","WBAVL1C54DV255301","T3Z 8L9","White","10/23/2019"
"2015 Volkswagen Beetle","2,015","Volkswagen","Beetle","11,688","1","3N1CN7APXDL155556","J6T 2L9","Blue","2/28/2020"
"2001 BMW X5","2,001","BMW","X5","20,583","0","5LMJJ2JT1FE057771","Z0D 2H0","Blue","7/24/2020"
"2004 Lexus LX","2,004","Lexus","LX","12,425","1","1N4AL2APXCC518354","T7X 2O0","Yellow","9/20/2018"
"2008 Mercedes-Benz CL-Class","2,008","Mercedes-Benz","CL-Class","19,177","1","WAULK98K09A916862","F1C 3W3","White","11/25/2018"
"2013 Mazda 626","2,013","Mazda","626","13,589","1","2FMGK5D84FB966289","O2U 5Q1","Silver","7/10/2019"
"2023 Volkswagen Passat","2,023","Volkswagen","Passat","20,528","0","JTHBF1D28F5276526","N6U 3A1","Blue","9/18/2020"
"2000 Volkswagen rio","2,000","Volkswagen","rio","18,315","0","WAUML64B83N156864","J6Y 4T9","Black","3/30/2020"
"2010 Dodge Avenger","2,010","Dodge","Avenger","19,375","1","4T3BA3BBXDU976052","Q0V 6Z7","White","11/11/2019"
"2021 Ford Aerostar","2,021","Ford","Aerostar","12,559","0","2G4GS5EK7C9633939","X5C 9P9","Silver","1/8/2020"
"2017 Chevrolet Suburban 1500","2,017","Chevrolet","Suburban 1500","15,582","0","WVWAA7AJ3BW220430","D3Z 0W9","Blue","4/18/2019"
"2008 Mercury Mountaineer","2,008","Mercury","Mountaineer","20,885","1","2G4GT5GX9F9892636","X5P 8L7","Red","4/29/2019"
"2011 Ford Thunderbird","2,011","Ford","Thunderbird","10,571","0","3VWML7AJ2CM709777","J1R 5E8","Black","1/13/2019"
"2008 Volkswagen Golf","2,008","Volkswagen","Golf","11,256","0","WAUAF78E76A231523","U5F 0C7","Blue","12/21/2018"
"2018 Mercury Topaz","2,018","Mercury","Topaz","16,748","0","WAUET48H85K406678","B9D 2L8","White","4/29/2020"
"2021 Mitsubishi Challenger","2,021","Mitsubishi","Challenger","15,884","1","WUADNAFG7BN382114","E5R 2U0","Black","7/1/2020"
"2011 GMC Yukon","2,011","GMC","Yukon","20,040","0","WAUVC58EX4A089504","T7S 3E9","Black","10/5/2020"
"2017 Suzuki SJ","2,017","Suzuki","SJ","18,747","0","WBAVB73588K686107","Q9J 8M6","White","2/21/2018"
"2023 Ford Econoline E150","2,023","Ford","Econoline E150","21,932","0","WP0CA2A84BU065861","W0B 5A7","Blue","12/24/2019"
"2017 Pontiac LeMans","2,017","Pontiac","LeMans","17,354","1","WA1LMBFE7FD237838","S6L 5G6","White","10/27/2018"
"2006 Aston Martin Vantage","2,006","Aston Martin","Vantage","16,124","1","WP0CA2A86FK522283","L0X 7O8","Black","7/23/2018"
"2025 Chevrolet Suburban 2500","2,025","Chevrolet","Suburban 2500","22,369","0","1D7RE3GKXAS220954","E4G 7P9","Blue","7/11/2020"
"2007 Nissan Pathfinder","2,007","Nissan","Pathfinder","23,044","0","1FTEW1E89AF254486","S3R 0X9","White","2/4/2019"
"2001 Chevrolet SSR","2,001","Chevrolet","SSR","21,407","1","2C3CCAGG6DH443644","M7X 3Z7","Gray","5/20/2020"
"2012 Ford EXP","2,012","Ford","EXP","13,439","0","5N1AR2MM0FC018973","V6O 7R6","Black","3/2/2019"
"2007 Ferrari California","2,007","Ferrari","California","24,058","0","1G4GA5EC5BF459063","N9U 0X2","Brown","4/17/2018"
"2021 Suzuki Esteem","2,021","Suzuki","Esteem","14,969","0","JH4CW2H51CC825151","A1K 5G0","Gray","1/25/2020"
"2013 Ford F-Series","2,013","Ford","F-Series","13,142","0","2B3CA5CT3AH096024","V3Q 5Q1","Orange","12/30/2018"
"2008 Chevrolet Malibu","2,008","Chevrolet","Malibu","13,826","1","WBAUL7C5XAV290760","M3P 2Z8","Black","5/7/2018"
"2009 Dodge Ram","2,009","Dodge","Ram","19,238","1","2C4RDGAG4CR608405","O8B 8B0","Black","9/29/2019"
"2010 Audi A7","2,010","Audi","A7","12,413","1","1D4SE6GTXBC316913","A2D 5S6","Black","12/16/2019"
"2024 Lincoln LS","2,024","Lincoln","LS","12,379","0","WA1CGBFEXED985523","A9C 9M9","White","6/19/2018"
"2004 Maserati Quattroporte","2,004","Maserati","Quattroporte","22,675","1","5BZAF0AA3EN394694","H9K 8Y8","Silver","10/22/2020"
"2024 Mercury Mystique","2,024","Mercury","Mystique","11,474","1","WAUHFBFL9CN763105","Q5Q 9Z7","Black","8/6/2019"
"2009 Ford F-Series Super Duty","2,009","Ford","F-Series Super Duty","23,761","0","SCFHDDAJ6CA269822","T6F 0J3","White","10/18/2020"
"2011 Audi 5000CS","2,011","Audi","5000CS","24,143","1","WAUKFBFL7DA375336","R1I 2N6","Silver","8/19/2019"
"2005 Lexus LX","2,005","Lexus","LX","21,818","0","JH4KA96591C873452","B0W 9F4","White","2/8/2020"
"2006 Suzuki SX4","2,006","Suzuki","SX4","24,550","0","WBANA73525B600269","K2A 9D0","Gray","12/17/2018"
"2004 Chevrolet Silverado 1500","2,004","Chevrolet","Silverado 1500","16,846","1","JN1AV7AR5FM472758","K6U 4A5","Blue","4/8/2018"
"2010 Toyota Tundra","2,010","Toyota","Tundra","15,292","0","JTDKDTB35D1910023","R1G 7W2","Black","3/29/2019"
"2009 Ford Ranger","2,009","Ford","Ranger","16,227","1","1C4SDHCTXFC943618","J4I 1B6","White","1/2/2019"
"2023 Daewoo Nubira","2,023","Daewoo","Nubira","11,813","1","3GYFNFEY5AS586048","M5Z 4H5","White","10/10/2020"
"2004 Chevrolet Avalanche 1500","2,004","Chevrolet","Avalanche 1500","18,677","0","2C3CDXGJ0CH060471","C1Y 8B1","Silver","4/10/2018"
"2020 Mazda 626","2,020","Mazda","626","12,080","1","SCFAD01EX9G822183","D3B 3W7","Gray","1/13/2020"
"2017 Toyota Supra","2,017","Toyota","Supra","21,478","0","KL4CJFSB4EB516346","Q6S 7T1","Black","5/11/2018"
"2005 Lexus RX Hybrid","2,005","Lexus","RX Hybrid","23,290","1","19XFA1E31BE097610","P7X 6S7","Silver","7/3/2020"
"2002 Hummer H2","2,002","Hummer","H2","15,897","0","1FTMF1EWXAF125358","A8U 9K2","Black","4/2/2020"
"2007 Mercedes-Benz R-Class","2,007","Mercedes-Benz","R-Class","14,800","0","WAUKGAFB8BN619161","Y6J 2L6","Silver","3/29/2019"
"2020 Nissan Pathfinder","2,020","Nissan","Pathfinder","21,326","1","1G6DL67A980478068","Q9U 3L3","Black","5/28/2018"
"2000 BMW M3","2,000","BMW","M3","24,435","0","WAUEKBFBXBN095920","H0E 2C2","White","12/13/2020"
"2010 Acura MDX","2,010","Acura","MDX","21,056","0","3CZRE3H36BG609997","K7K 4S8","Black","8/27/2019"
"2022 Porsche 911","2,022","Porsche","911","17,202","0","WA1VGBFP3EA675449","N6F 6A2","Black","12/5/2020"
"2007 Maybach 62","2,007","Maybach","62","23,816","1","WP0CB2A87CS767912","O9U 5E3","Gray","7/4/2018"
"2016 Audi S4","2,016","Audi","S4","21,987","0","WAULC58E03A944149","V1X 0V6","Red","9/13/2018"
"2016 Chrysler Imperial","2,016","Chrysler","Imperial","16,783","1","2C4RDGDGXCR682147","G6Q 2J7","Silver","6/21/2018"
"2002 Ford Expedition","2,002","Ford","Expedition","22,496","0","TRUSC28N931658996","C5N 2R2","White","1/22/2020"
"2004 Audi A6","2,004","Audi","A6","22,913","0","5GADV33137D656853","B7I 0V7","Gray","7/24/2018"
"2004 Chevrolet Silverado Hybrid","2,004","Chevrolet","Silverado Hybrid","21,038","1","1G4PP5SK4D4801899","Z9D 6S6","White","12/1/2019"
"2004 Saab 44079","2,004","Saab","44079","22,542","1","WAUBH74F27N114147","B3M 5T9","Black","1/30/2019"
"2023 GMC Savana 3500","2,023","GMC","Savana 3500","12,557","0","WAUBGAFB2AN520267","O6Y 2O8","Black","10/5/2019"
"2009 Jeep Grand Cherokee","2,009","Jeep","Grand Cherokee","10,961","1","19UUA56872A967776","X2Y 3O6","White","10/29/2018"
"2017 Mazda 929","2,017","Mazda","929","24,562","1","WAUWFAFH0BN372338","X8S 3D7","White","11/19/2018"
"2001 Lamborghini Murci̩lago","2,001","Lamborghini","Murci̩lago","21,169","0","WAURFAFR6DA547997","Z1N 3G8","Red","12/7/2019"
"2011 BMW X5","2,011","BMW","X5","12,879","0","1GYS4GEF7DR588056","F2Z 1I1","Black","12/27/2018"
"2009 Infiniti EX","2,009","Infiniti","EX","10,262","1","WAUAFAFL2FN736800","R6A 8S6","Silver","4/6/2020"
"2009 BMW X6","2,009","BMW","X6","24,191","0","W04GZ5GV6B1008212","Z3V 2H5","Gray","5/30/2019"
"2006 BMW 6 Series","2,006","BMW","6 Series","14,577","0","3D73Y4HL7BG366974","R8Q 5P6","White","4/1/2018"
"2016 Mazda 626","2,016","Mazda","626","10,974","1","WA1VMAFE8CD379601","C6O 6K3","Blue","10/17/2018"
"2008 Chevrolet HHR","2,008","Chevrolet","HHR","18,687","0","WAUHGAFC4CN872725","S5H 9B6","White","2/21/2018"
"2004 Volvo XC90","2,004","Volvo","XC90","18,321","1","3FA6P0LU5DR491245","T2T 8M1","Black","6/7/2019"
"2001 Mercedes-Benz SL-Class","2,001","Mercedes-Benz","SL-Class","17,346","1","1G6DJ8EG1A0466639","U7E 8S1","Brown","1/24/2019"
"2024 Acura RL","2,024","Acura","RL","10,035","1","WDDEJ7EB8BA821565","Y4N 9E2","Silver","3/15/2019"
"2008 Mazda Mazda5","2,008","Mazda","Mazda5","23,400","0","1HGCR2E38EA615853","C5M 2C5","Black","11/28/2019"
"2007 Ford Crown Victoria","2,007","Ford","Crown Victoria","15,911","0","JTDKN3DU8B0382709","W0W 2V2","White","5/19/2020"
"2010 Lexus CT","2,010","Lexus","CT","16,128","0","WBAHN83517D770010","A5H 5J0","White","11/15/2018"
"2007 Volkswagen Passat","2,007","Volkswagen","Passat","15,342","0","2G4GS5EV2D9321443","L7K 1W0","Silver","8/1/2019"
"2000 Chrysler Town & Country","2,000","Chrysler","Town & Country","18,228","1","WAUHF78P79A001551","C9W 9P7","Gray","5/9/2019"
"2010 Ford Flex","2,010","Ford","Flex","24,907","0","WAUAG78E56A825251","A3N 0V4","Blue","5/6/2020"
"2000 Saab 44077","2,000","Saab","44077","15,712","0","WA1LMBFEXDD945725","Q9F 2E9","Blue","2/5/2019"
"2008 Lincoln Continental","2,008","Lincoln","Continental","13,931","1","1G6DA5EG7A0626599","F8L 0F3","Blue","5/17/2019"
"2004 Volvo S60","2,004","Volvo","S60","22,306","1","1NXBU4EE0AZ985026","W1V 2I9","Blue","5/11/2019"
"2019 Dodge Viper RT/10","2,019","Dodge","Viper RT/10","18,553","1","KNAGM4AD5C5807520","S6D 8T4","Yellow","1/13/2019"
"2009 BMW Z4","2,009","BMW","Z4","11,180","1","WAUAT48H64K057842","D9P 3X4","Gray","8/15/2020"
"2010 Pontiac Sunbird","2,010","Pontiac","Sunbird","20,402","0","19XFA1E86AE299983","W8C 3G1","Blue","10/17/2018"
"2001 Porsche Cayenne","2,001","Porsche","Cayenne","21,656","1","1GKMCCE39AR848912","W9Q 4W8","Black","12/3/2018"
"2019 Dodge Spirit","2,019","Dodge","Spirit","20,187","1","WBAYA8C58DD650342","X7V 8D0","Red","5/21/2020"
"2017 Mazda B-Series Plus","2,017","Mazda","B-Series Plus","24,551","0","1FTWW3DY4AE667875","W3U 7A4","Black","7/23/2018"
"2007 Ford Expedition EL","2,007","Ford","Expedition EL","11,123","1","3GTU1YEJ4DG217213","B2Q 8Y0","Gray","5/22/2018"
"2017 Dodge Daytona","2,017","Dodge","Daytona","10,295","1","JM1DE1KY5D0925746","X8H 8A6","White","8/22/2019"
"2009 Jeep Compass","2,009","Jeep","Compass","21,247","1","SAJWA0FB0CL338826","C3Z 2E0","Gray","11/5/2018"
"2011 Volkswagen Type 2","2,011","Volkswagen","Type 2","20,197","1","WAUKF98E58A914968","V8T 5F7","White","1/9/2018"
"2004 Honda Accord","2,004","Honda","Accord","19,209","1","TRUWT28N921003477","Q9O 6J0","Blue","1/4/2019"
"2017 Land Rover Range Rover Classic","2,017","Land Rover","Range Rover Classic","10,295","1","2G61R5S34E9175317","D7O 6M9","Gray","1/19/2020"
"2004 Chevrolet Monte Carlo","2,004","Chevrolet","Monte Carlo","11,598","0","WA1VMAFE4ED952934","M5P 7N3","Gray","6/30/2020"
"2008 Honda Fit","2,008","Honda","Fit","18,552","1","1GYFK46888R226894","B1O 5K1","White","9/27/2020"
"2020 Ford Econoline E150","2,020","Ford","Econoline E150","13,723","0","1G6DG8E50D0705695","J8H 9M1","Red","11/22/2018"
"2009 Dodge Dakota","2,009","Dodge","Dakota","23,764","0","1N6AF0KY9FN703787","S8G 3I0","White","7/8/2020"
"2017 Lincoln Town Car","2,017","Lincoln","Town Car","14,725","1","WBAGN83414D296039","Y3B 0Z1","White","2/24/2019"
"2001 Pontiac Vibe","2,001","Pontiac","Vibe","16,856","0","1G6D25EY2B0338187","G2P 6M1","Blue","4/19/2020"
"2008 Dodge Nitro","2,008","Dodge","Nitro","21,931","1","5N1AA0NCXFN789527","Y2O 0O0","Silver","5/31/2019"
"2016 Mercury Cougar","2,016","Mercury","Cougar","21,141","0","JN8AZ1MU3DW523386","F7C 5W4","Silver","7/29/2020"
"2009 Audi Q7","2,009","Audi","Q7","10,658","1","WA1WMAFE7BD358614","O0M 6G2","White","5/21/2019"
"2000 Mazda 626","2,000","Mazda","626","24,896","0","JTHBK1EG0A2234173","L3K 5L6","Blue","2/4/2018"
"2021 Acura SLX","2,021","Acura","SLX","12,722","1","JTHBB1BA4C2357672","N6F 9D3","Black","3/5/2018"
"2021 Chevrolet Cavalier","2,021","Chevrolet","Cavalier","20,042","1","5UXFE43568L313928","N8S 6H2","White","10/4/2019"
"2005 Jeep Commander","2,005","Jeep","Commander","19,153","0","1G4HR57YX6U626234","K1F 8F3","Gray","1/30/2019"
"2016 Alfa Romeo Spider","2,016","Alfa Romeo","Spider","13,029","1","5YMGY0C56CL516422","B7B 8N9","Black","1/5/2020"
"2009 Audi A5","2,009","Audi","A5","24,600","0","KNADH4A37B6651925","O3H 3D9","Black","8/19/2018"
"2000 Buick Park Avenue","2,000","Buick","Park Avenue","17,448","1","WVWED7AJ0CW351437","C6B 8S9","Blue","10/11/2019"
"2018 Dodge Ram Wagon B150","2,018","Dodge","Ram Wagon B150","24,354","0","3FA6P0LU6FR299691","F4N 5L5","Blue","11/15/2018"
"2003 Jeep Grand Cherokee","2,003","Jeep","Grand Cherokee","23,490","1","1GYUKCEF6AR158196","R8L 9V6","Gray","10/4/2018"
"2019 Kia Sephia","2,019","Kia","Sephia","24,562","1","3D73Y4CL7AG235579","N2K 5Y4","Red","2/9/2019"
"2006 Mitsubishi Lancer Evolution","2,006","Mitsubishi","Lancer Evolution","12,356","1","1ZVBP8AM4B5661716","D6V 6K4","Black","4/10/2019"
"2007 GMC Sierra 2500","2,007","GMC","Sierra 2500","17,940","1","1GTN1TEH9FZ790051","R9E 4F9","Green","2/7/2018"
"2024 Audi A8","2,024","Audi","A8","18,253","0","ZFBCFADH4EZ676698","F6U 5T8","Green","5/15/2018"
"2003 Dodge Durango","2,003","Dodge","Durango","14,224","1","3VWPG3AG5AM199274","S0F 3Z3","Silver","4/1/2020"
"2007 Ferrari 599 GTB Fiorano","2,007","Ferrari","599 GTB Fiorano","16,025","1","1FTEX1CV2AF373003","R0K 9V7","White","8/26/2020"
"2003 BMW 645","2,003","BMW","645","20,119","1","5N1AR2MM2EC805857","H6W 9K6","Black","3/3/2018"
"2008 Hummer H3","2,008","Hummer","H3","10,937","1","SCFAB42302K679029","G5W 3O9","White","4/3/2018"
"2010 Rolls-Royce Phantom","2,010","Rolls-Royce","Phantom","24,488","1","3G5DA03E64S458931","S8R 8M3","Blue","7/11/2020"
"2017 Chevrolet G-Series G30","2,017","Chevrolet","G-Series G30","11,799","0","2C3CDXDT2EH934456","F2U 6V7","Silver","4/21/2019"
"2009 Cadillac Escalade ESV","2,009","Cadillac","Escalade ESV","23,501","0","5NPEB4AC5BH949646","Y6T 4P4","Gray","3/1/2018"
"2001 Jeep Wrangler","2,001","Jeep","Wrangler","11,500","1","WBSPM9C56BE752945","A0Y 8L5","Yellow","11/15/2018"
"2003 Honda CR-V","2,003","Honda","CR-V","12,452","1","5N1AR1NB6CC484295","Z5J 2Z3","Gray","2/18/2020"
"2017 Mercedes-Benz 400E","2,017","Mercedes-Benz","400E","14,514","1","1G6DS8ED9B0992442","M4Q 1V5","White","6/17/2020"
"2010 Mercedes-Benz SLS-Class","2,010","Mercedes-Benz","SLS-Class","11,144","0","1ZVBP8AM3E5522293","P4T 9B8","Black","12/19/2019"
"2008 Mercury Mountaineer","2,008","Mercury","Mountaineer","16,575","0","WBALM5C59BE007280","U5V 5U3","Silver","10/6/2020"
"2005 Cadillac STS","2,005","Cadillac","STS","14,036","1","WAUCH74F09N103283","W6X 4H4","Blue","3/8/2020"
"2004 MINI Cooper","2,004","MINI","Cooper","16,543","1","1G4HR54K52U715073","A7A 2S1","Gray","4/2/2019"
